celltype,include,color
 1,1,#E58700
 5,0,#00BA38
12,1,#E76BF3
 7,1,#00C0AF
 1,1,#E58700
 2,0,#C99800
12,1,#E76BF3
 1,1,#E58700
 1,1,#E58700
 2,1,#C99800
 1,1,#E58700
12,1,#E76BF3
 7,1,#00C0AF
12,1,#E76BF3
12,1,#E76BF3
12,1,#E76BF3
12,1,#E76BF3
 1,1,#E58700
12,1,#E76BF3
 0,0,#F8766D
 4,1,#6BB100
 8,1,#00BCD8
 8,1,#00BCD8
12,1,#E76BF3
12,1,#E76BF3
12,1,#E76BF3
 1,1,#E58700
 7,1,#00C0AF
 1,1,#E58700
 8,1,#00BCD8
 7,1,#00C0AF
 4,1,#6BB100
 7,1,#00C0AF
 1,1,#E58700
 8,0,#00BCD8
 1,1,#E58700
12,1,#E76BF3
 8,1,#00BCD8
10,1,#619CFF
 7,1,#00C0AF
 7,1,#00C0AF
12,1,#E76BF3
 7,1,#00C0AF
12,1,#E76BF3
 1,1,#E58700
12,1,#E76BF3
 7,1,#00C0AF
 1,1,#E58700
12,1,#E76BF3
12,1,#E76BF3
10,0,#619CFF
12,1,#E76BF3
12,1,#E76BF3
10,0,#619CFF
12,1,#E76BF3
 1,1,#E58700
 8,1,#00BCD8
12,1,#E76BF3
12,1,#E76BF3
12,1,#E76BF3
 1,1,#E58700
12,1,#E76BF3
 1,1,#E58700
 1,1,#E58700
12,1,#E76BF3
 1,1,#E58700
 7,1,#00C0AF
12,1,#E76BF3
 1,1,#E58700
 8,1,#00BCD8
 4,0,#6BB100
 1,1,#E58700
10,0,#619CFF
 1,1,#E58700
 7,1,#00C0AF
 1,1,#E58700
 4,1,#6BB100
10,0,#619CFF
 1,1,#E58700
 7,1,#00C0AF
 2,0,#C99800
12,1,#E76BF3
 1,1,#E58700
12,1,#E76BF3
12,1,#E76BF3
 1,1,#E58700
 1,1,#E58700
12,1,#E76BF3
 1,1,#E58700
 1,1,#E58700
 1,1,#E58700
 8,1,#00BCD8
 1,1,#E58700
 7,1,#00C0AF
 1,1,#E58700
 1,1,#E58700
 1,1,#E58700
12,1,#E76BF3
 8,0,#00BCD8
 8,1,#00BCD8
 1,1,#E58700
 1,1,#E58700
 7,1,#00C0AF
 1,1,#E58700
 8,1,#00BCD8
 1,1,#E58700
12,1,#E76BF3
 1,1,#E58700
 1,1,#E58700
10,1,#619CFF
 1,1,#E58700
 7,1,#00C0AF
 1,1,#E58700
 7,1,#00C0AF
12,1,#E76BF3
12,1,#E76BF3
 1,1,#E58700
 1,1,#E58700
 1,1,#E58700
 7,1,#00C0AF
 1,1,#E58700
10,1,#619CFF
 2,0,#C99800
 1,1,#E58700
 1,1,#E58700
 7,1,#00C0AF
12,1,#E76BF3
12,1,#E76BF3
 1,1,#E58700
 1,1,#E58700
 1,1,#E58700
 1,1,#E58700
10,1,#619CFF
10,0,#619CFF
 1,1,#E58700
 1,1,#E58700
 1,1,#E58700
 8,1,#00BCD8
