x,y,intensity,area
2.358529e+03,8.518131e+02,nan,nan
3.638065e+03,8.691660e+02,nan,nan
3.045753e+03,8.728830e+02,nan,nan
3.449327e+03,8.599388e+02,nan,nan
3.166426e+03,8.762634e+02,nan,nan
2.480275e+03,8.936349e+02,nan,nan
3.954729e+03,8.716824e+02,nan,nan
3.805356e+03,8.901468e+02,nan,nan
2.042473e+03,8.966131e+02,nan,nan
2.194830e+03,9.019759e+02,nan,nan
3.732985e+03,8.930288e+02,nan,nan
3.510260e+03,9.046624e+02,nan,nan
3.550897e+03,9.023413e+02,nan,nan
3.217016e+03,9.066876e+02,nan,nan
2.678442e+03,9.120831e+02,nan,nan
2.909124e+03,9.183346e+02,nan,nan
2.111328e+03,9.316852e+02,nan,nan
2.787611e+03,9.150389e+02,nan,nan
3.686478e+03,9.307094e+02,nan,nan
3.940363e+03,9.297365e+02,nan,nan
3.881339e+03,9.428966e+02,nan,nan
2.523283e+03,9.527371e+02,nan,nan
2.841575e+03,9.547116e+02,nan,nan
3.321209e+03,9.445623e+02,nan,nan
2.042043e+03,9.603760e+02,nan,nan
2.212318e+03,9.470702e+02,nan,nan
2.723499e+03,9.370244e+02,nan,nan
3.091925e+03,9.561491e+02,nan,nan
3.195860e+03,9.675314e+02,nan,nan
2.973837e+03,9.576847e+02,nan,nan
2.295853e+03,9.577519e+02,nan,nan
3.265171e+03,9.668361e+02,nan,nan
2.771391e+03,9.703189e+02,nan,nan
2.468914e+03,9.696964e+02,nan,nan
3.491747e+03,9.795879e+02,nan,nan
2.368888e+03,9.772197e+02,nan,nan
2.002768e+03,9.834115e+02,nan,nan
3.967390e+03,9.845219e+02,nan,nan
2.131279e+03,9.987082e+02,nan,nan
2.182235e+03,9.952977e+02,nan,nan
2.910185e+03,9.899510e+02,nan,nan
3.322102e+03,9.998260e+02,nan,nan
2.240544e+03,1.004674e+03,nan,nan
2.596933e+03,9.901697e+02,nan,nan
2.751104e+03,1.016393e+03,nan,nan
3.210951e+03,1.012931e+03,nan,nan
3.726607e+03,1.000755e+03,nan,nan
3.385970e+03,1.008355e+03,nan,nan
3.805539e+03,1.006348e+03,nan,nan
2.497255e+03,1.024737e+03,nan,nan
2.580460e+03,1.036915e+03,nan,nan
2.656482e+03,1.033654e+03,nan,nan
2.985274e+03,1.045786e+03,nan,nan
2.374438e+03,1.054146e+03,nan,nan
3.408465e+03,1.054882e+03,nan,nan
2.153812e+03,1.059638e+03,nan,nan
3.464307e+03,1.060255e+03,nan,nan
3.063635e+03,1.061733e+03,nan,nan
2.595026e+03,1.076171e+03,nan,nan
2.923034e+03,1.086465e+03,nan,nan
2.211520e+03,1.080278e+03,nan,nan
2.314748e+03,1.090855e+03,nan,nan
3.556750e+03,1.091883e+03,nan,nan
3.269232e+03,1.092578e+03,nan,nan
3.510538e+03,1.098905e+03,nan,nan
3.397953e+03,1.107853e+03,nan,nan
3.623111e+03,1.083633e+03,nan,nan
2.483119e+03,1.105328e+03,nan,nan
2.738153e+03,1.097202e+03,nan,nan
2.206621e+03,1.130771e+03,nan,nan
2.683347e+03,1.131067e+03,nan,nan
2.025310e+03,1.130467e+03,nan,nan
2.126712e+03,1.119233e+03,nan,nan
2.269127e+03,1.119374e+03,nan,nan
2.562264e+03,1.115096e+03,nan,nan
3.458542e+03,1.128536e+03,nan,nan
2.756221e+03,1.142351e+03,nan,nan
2.592805e+03,1.145185e+03,nan,nan
2.940144e+03,1.145811e+03,nan,nan
3.267944e+03,1.152243e+03,nan,nan
2.247844e+03,1.158357e+03,nan,nan
3.895624e+03,1.150852e+03,nan,nan
2.430618e+03,1.150370e+03,nan,nan
3.479500e+03,1.183890e+03,nan,nan
3.163230e+03,1.179649e+03,nan,nan
3.086405e+03,1.181374e+03,nan,nan
3306,1.195964e+03,nan,nan
2.372034e+03,1.195396e+03,nan,nan
3.032834e+03,1.193411e+03,nan,nan
3.365497e+03,1.205017e+03,nan,nan
2.624868e+03,1.205105e+03,nan,nan
3.954135e+03,1.201418e+03,nan,nan
2.814759e+03,1.210001e+03,nan,nan
2.163515e+03,1.216357e+03,nan,nan
2.887545e+03,1.207247e+03,nan,nan
2.950933e+03,1.214738e+03,nan,nan
2.299609e+03,1.220283e+03,nan,nan
2.705994e+03,1.217810e+03,nan,nan
