"","x","y","intensity","area","id","color","acronym","right.left","rostral.caudal","anterior.posterior"
"14074",5438.835,4725.5885,3501.5,3501.5,19,"#225ea8","LV",347.459443563085,389.569027470275,295
"14075",5543.935,4738.318,4789,4789,19,"#225ea8","LV",353.285483260254,396.808441966148,295
"14076",5052.12,4731.379,1345.5,1345.5,19,"#225ea8","LV",278.583123580182,321.63629613244,295
"14077",5758.02,4736.845,1674,1674,19,"#225ea8","LV",362.01457926575,408.261539286551,295
"14078",5179.935,4739.761,2469,2469,19,"#225ea8","LV",296.008188898267,337.42600569269,295
"14079",5263.035,4739.4645,1942.5,1942.5,19,"#225ea8","LV",319.548745611548,360.027926123857,295
"14080",5333.925,4735.845,1927.5,1927.5,19,"#225ea8","LV",335.842300118905,376.862610005579,295
"14081",5665.38,4737.922,2516,2516,19,"#225ea8","LV",358.851938709109,404.257911476888,295
"14082",5214.495,4741.7085,3111.5,3111.5,19,"#225ea8","LV",304.452783040744,345.281681450888,295
"14083",5400.71,4747.3125,3507.5,3507.5,19,"#225ea8","LV",343.194396676609,385.387133291279,295
"14084",5506.215,4740.991,983.5,983.5,19,"#225ea8","LV",351.219656596557,394.583485178949,295
"14085",5876.07,4746.79,1822.5,1822.5,19,"#225ea8","LV",365.102629061956,413.086747904846,295
"14086",5016.305,4750.5955,1375,1375,19,"#225ea8","LV",273.680361424953,317.941834821291,295
"14087",5046.045,4758.848,1538.5,1538.5,19,"#225ea8","LV",276.624328029898,320.867106192501,295
"14088",5352.025,4765.059,3775.5,3775.5,19,"#225ea8","LV",337.560395947076,379.789267620874,295
"14089",5519.59,4762.263,1410.5,1410.5,19,"#225ea8","LV",351.171042520695,395.292926503031,295
"14090",5861.06,4762.9475,1901.5,1901.5,19,"#225ea8","LV",364.37960040573,412.48289608134,295
"14091",5003.22,4773.4075,2564,2564,19,"#225ea8","LV",271.645133884505,317.280400662783,295
"14092",5103.775,4767.847,1352,1352,19,"#225ea8","LV",282.106667513858,325.828047880521,295
"14093",5266.42,4770.91,1912,1912,19,"#225ea8","LV",318.049015454172,359.532494938092,295
"14094",5980.095,4769.4535,1939,1939,19,"#225ea8","LV",367.178752263222,416.688184649884,295
"14095",5478.155,4769.276,5043,5043,19,"#225ea8","LV",348.472625268077,392.10077380323,295
"14096",5236.395,4765.7125,2466,2466,19,"#225ea8","LV",309.273780739891,350.799689240061,295
"14097",5840.805,4783.622,2802,2802,19,"#225ea8","LV",363.184055680032,411.298816299839,295
"14098",5936.69,4773.4875,2783.5,2783.5,19,"#225ea8","LV",366.004975872372,415.035005001868,295
"14099",5145.445,4774.53,1465,1465,19,"#225ea8","LV",287.90282646873,331.146082320793,295
"14100",5656.19,4776.708,3068.5,3068.5,19,"#225ea8","LV",357.171734870628,403.134934803713,295
"14101",5548.38,4780.9425,1575,1575,19,"#225ea8","LV",352.35830974653,397.496019706015,295
"14102",5392.905,4779.697,1084,1084,19,"#225ea8","LV",341.041146771383,383.970402068627,295
"14103",5990.675,4789.395,1132.5,1132.5,19,"#225ea8","LV",366.882032326616,416.754534332948,295
"14104",5086.28,4796.059,3774,3774,19,"#225ea8","LV",279.063273326447,324.28653779942,295
"14105",5620.435,4785.3625,1769,1769,19,"#225ea8","LV",355.575515775428,401.33191214801,295
"14106",5239.28,4790.4465,732,732,19,"#225ea8","LV",308.293160912334,350.553643635316,295
"14107",5123.34,4788.209,1368,1368,19,"#225ea8","LV",284.206326538076,328.337316621582,295
"14108",5433.59,4784.8365,5204,5204,19,"#225ea8","LV",344.810039348778,388.539697998131,295
"14109",5169.16,4797.8805,2904,2904,19,"#225ea8","LV",289.896768631187,333.642890698484,295
"14110",5305.785,4796.921,3659,3659,19,"#225ea8","LV",326.855324018368,369.08314408681,295
"14111",5470.45,4803.317,1445,1445,19,"#225ea8","LV",346.833580662372,391.484022158916,295
"14112",5926.73,4803.4545,3236,3236,19,"#225ea8","LV",365.055428483203,414.64940428563,295
"14113",5276.9,4815.225,3676.5,3676.5,19,"#225ea8","LV",317.689875876894,360.424448469538,295
"14114",5647.51,4805.29,1207.5,1207.5,19,"#225ea8","LV",355.981542071978,402.682786203502,295
"14115",5137.86,4810.403,1626,1626,19,"#225ea8","LV",284.510655353762,329.248742754696,295
"14116",5796.95,4809.712,3014,3014,19,"#225ea8","LV",361.212535394984,409.481135827598,295
"14117",5366.72,4805.596,3086.5,3086.5,19,"#225ea8","LV",336.662002637598,379.890835116325,295
"14118",5513.03,4798.336,2754,2754,19,"#225ea8","LV",349.629976638559,394.688030446834,295
"14119",5591.6,4819.22,3350.5,3350.5,19,"#225ea8","LV",353.073870399981,399.317949487086,295
